line_id,date,description,amount,reference
S0001,2026-03-16,"IMPS CLOUDLINE HOSTING",-477125.98,
S0002,2026-03-19,"POS BHARAT OFFICE SOL",-127304.1,
S0003,2026-03-28,"NEFT EASTERN FREIGHT LO",805425.26,
S0004,2026-03-28,"IMPS GLOBAL TALENT PAYRO",221175.51,
S0005,2026-03-22,"NEFT KAVYA CONSULTIN",-130221.23,
S0006,2026-03-02,"ACH NORTHLINE INSURA",-958264.85,
S0007,2026-03-04,"NEFT BATCH SETTLEMENT",-2152411.81,
S0008,2026-03-29,"DELUXE CATERING CO",-861419.90,
S0009,2026-03-04,"POS CLOUDLINE HOSTING",708911.74,
S0010,2026-03-04,"SALARY BATCH",1848988.92,
S0011,2026-03-06,"ACH OMEGA IT SERVI",-420169.86,
S0012,2026-03-27,"NEFT ACME INDUSTRIAL",-496995.96,
S0013,2026-03-08,"ACH CLOUDLINE HOST",-672693.11,
S0014,2026-03-16,"HINDUSTAN POWER & LIGH",-360459.89,
S0015,2026-03-08,"IMPS NORTHLINE INSURANCE",-277982.89,
S0016,2026-03-08,"IMPS NORTHLINE INSURANCE",-590713.63,
S0017,2026-03-19,"POS NORTHLINE INSURAN",-308924.29,
S0018,2026-03-25,"KAVYA CONSULTING",656887.02,
S0019,2026-03-16,"POS OMEGA IT SERVICES",10631.08,
S0020,2026-03-16,"POS OMEGA IT SERVICES",24805.85,
S0021,2026-03-24,"IMPS OMEGA IT SERVICES",-3476.87,
S0022,2026-03-25,"GLOBAL TALENT PAYROLL",-468449.25,
S0023,2026-03-23,"NEFT BATCH SETTLEMENT",-899277.91,
S0024,2026-03-13,"ACH LAKSHMI TEXTIL",-902655.11,
S0025,2026-03-05,"POS HINDUSTAN POWER ",-722611.11,
S0026,2026-03-22,"METRO PROPERTY RENTALS",-612680.18,
S0027,2026-03-22,"ACH BHARAT OFFICE SOLU",874317.62,
S0028,2026-03-26,"NEFT METRO PROPERTY",-973973.44,
S0029,2026-03-17,"CLOUDLINE HOSTING",-661695.06,
S0030,2026-03-23,"NEFT BATCH SETTLEMENT",-1500485.54,
S0031,2026-03-15,"IMPS LAKSHMI TEXTILES",-85977.11,
S0032,2026-03-16,"BHARAT OFFICE SOLUTI",976060.96,
S0033,2026-03-29,"IMPS JUPITER TELEC",688675.05,
S0034,2026-03-15,"NEFT ACME INDUSTRIAL S",-400139.19,
S0035,2026-03-14,"IMPS EASTERN FREIGHT ",-217519.86,
S0036,2026-03-14,"IMPS EASTERN FREIGHT ",-728218.64,
S0037,2026-03-15,"KAVYA CONSULTING",-97456.92,
S0038,2026-03-23,"ACH METRO PROPERTY RENT",-543456.3,
S0039,2026-03-21,"IMPS HINDUSTAN POWER & LI",-51895.09,
S0040,2026-03-30,"NEFT LAKSHMI TEXTILE",-302699.68,
S0041,2026-03-14,"BANK CHARGES GST",-302.99,
S0042,2026-03-09,"BANK CHARGES GST",-366.52,
S0043,2026-03-14,"IMPS EASTERN FREIGHT ",-217519.86,
